id,title,author,rating,tags,platform
0,诡秘之主,爱潜水的乌贼,4.4,科幻、克苏鲁、蒸汽朋克,起点读书
1,宰执天下,cuslaa,4.0,历史、穿越、权谋,起点读书
2,重生之出人头地,闹闹不爱闹,4.3,悬疑、重生、商战,Kindle 商店
3,惊悚乐园,三天两觉,4.1,悬疑、无限流、推理,起点读书
4,奥术神座,爱潜水的乌贼,4.2,悬疑、西幻、魔法,QQ 阅读
5,赘婿,愤怒的香蕉,3.4,历史、穿越、宅斗,Kindle 商店
6,一世之尊,爱潜水的乌贼,4.0,都市、玄幻、武侠,微信读书
7,凡人修仙传,忘语,4.0,玄幻、仙侠、修仙,番茄小说
8,放开那个女巫,二目,3.6,玄幻、西幻、女巫,Kindle 商店
9,晚明,柯山梦,4.4,都市、历史、穿越,微信读书
10,隐杀,愤怒的香蕉,4.1,历史、重生、异能,微信读书
11,地煞七十二变,祭酒,4.1,玄幻、神话、仙侠,起点读书
12,无限恐怖,zhttty,4.2,悬疑、无限流、科幻,番茄小说
13,永不解密,风卷红旗,4.3,科幻、军事、谍战,起点读书
14,琥珀之剑,绯炎,3.8,武侠、奇幻、冒险,QQ 阅读
15,大道争锋,误道者,3.5,都市、玄幻、修仙,微信读书
16,极道天魔,滚开,3.5,武侠、玄幻、黑暗流,QQ 阅读
17,超神机械师,齐佩甲,3.5,科幻、游戏、穿越,微信读书
18,娱乐春秋,姬叉,4.0,武侠、玄幻、后宫,Kindle 商店
19,幻想世界大穿越,辰一十一,3.4,悬疑、穿越、无限流,Kindle 商店
20,我的女友是恶女,海底漫步者,3.4,科幻、都市、恋爱,番茄小说
21,灭运图录,爱潜水的乌贼,4.0,武侠、玄幻、修仙,微信读书
22,穿进赛博游戏后干掉BOSS成功上位,桉柏,4.2,玄幻、赛博朋克、游戏,微信读书
23,重生之官路商途,更俗,4.2,科幻、重生、官场,Kindle 商店
24,文艺时代,睡觉会变白,3.8,科幻、都市、文艺,微信读书
25,大王饶命,会说话的肘子,2.2,武侠、都市、系统,起点读书
26,从姑获鸟开始,活儿该,3.6,玄幻、灵异、悬疑,起点读书
27,回到过去变成猫,陈词懒调,4.3,都市、奇幻、温馨,微信读书
28,亵渎,烟雨江南,3.9,都市、奇幻、西方奇幻,Kindle 商店
29,民国之文豪崛起,王梓钧,3.1,都市、历史、文学,番茄小说
30,问镜,减肥专家,3.5,玄幻、仙侠、修真,番茄小说
31,全职高手,蝴蝶蓝,4.1,都市、游戏、竞技,番茄小说
32,间客,猫腻,3.1,历史、科幻、机甲,起点读书
33,道诡异仙,狐尾的笔,3.5,悬疑、克苏鲁、玄幻,番茄小说
34,庆余年,猫腻,2.9,都市、穿越、权谋,起点读书
35,芝加哥1990,齐可休,2.8,悬疑、重生、异国背景,番茄小说
36,异常生物见闻录,远瞳,3.9,玄幻、奇幻、搞笑,微信读书
37,许仙志,说梦者,3.9,玄幻、神话、仙侠,QQ 阅读
38,极品家丁,禹岩,4.0,玄幻、穿越、后宫,番茄小说
39,覆汉,榴弹怕水,3.7,悬疑、历史、穿越,微信读书
40,将夜,猫腻,2.8,都市、玄幻、武侠,番茄小说
41,上品寒士,贼道三痴,4.3,玄幻、历史、言情,QQ 阅读
42,秦吏,七月新番,3.7,历史、穿越、秦朝,QQ 阅读
43,诛仙,萧鼎,4.2,玄幻、仙侠、爱情,番茄小说
44,蛊真人,蛊真人,3.2,都市、玄幻、黑暗流,微信读书
45,斗破苍穹,天蚕土豆,3.4,玄幻、异界、升级流,Kindle 商店
46,武道宗师,爱潜水的乌贼,3.0,都市、武侠、竞技,起点读书
47,回到明朝当王爷,月关,3.9,都市、穿越、明朝,Kindle 商店
48,亏成首富从游戏开始,青衫取醉,3.8,玄幻、都市、商业,QQ 阅读
49,无穷重阻,核动力战列舰,3.5,玄幻、科幻、脑洞,QQ 阅读
50,临高启明,吹牛者,3.0,科幻、历史、穿越,Kindle 商店
51,阴魂,野原乳之熊,3.9,历史、灵异、悬疑,微信读书
52,我有一座冒险屋,我会修空调,3.1,武侠、灵异...,QQ 阅读
53,重生之神级学霸,志鸟村,3.6,玄幻、重生、校园,Kindle 商店
54,龙蛇演义,梦入神机,4.3,武侠、国术、现代,微信读书
55,三国之最风流,赵子曰,3.8,科幻、历史、三国,Kindle 商店
56,巫师世界,滚开,3.8,悬疑、玄幻、巫师流,QQ 阅读
57,绑架全人类,小雨清晨,3.8,玄幻、科幻、末日,微信读书
58,罪恶之城,烟雨江南,3.8,历史、奇幻、黑暗流,起点读书
59,狩魔手记,烟雨江南,4.0,玄幻、废土、科幻,Kindle 商店
60,谍影风云,寻青藤,3.9,都市、谍战、历史,Kindle 商店
61,制霸好莱坞,御井烹香,4.1,都市、异国背景、娱乐圈,Kindle 商店
62,悟空传,今何在,4.2,都市、神话、改编,微信读书
63,修真门派掌门路,齐可休,3.4,玄幻、仙侠、掌门流,QQ 阅读
64,学霸的黑科技系统,晨星LL,3.5,科幻、系统、校园,Kindle 商店
65,黎明之剑,远瞳,3.4,科幻、奇幻、异世界,Kindle 商店
66,雪中悍刀行,烽火戏诸侯,2.9,都市、武侠、江湖,微信读书
67,井口战役,核动力战列舰,3.8,历史、科幻、战争,QQ 阅读
68,大医凌然,志鸟村,3.1,悬疑、都市、医疗,起点读书
69,幽冥仙途,减肥专家,3.9,科幻、仙侠、玄幻,起点读书
70,我的模拟长生路,愤怒的乌贼,3.4,武侠、玄幻、模拟经营,QQ 阅读
71,问道红尘,姬叉,3.7,科幻、玄幻、言情,起点读书
72,崩坏世界的传奇大冒险,国王陛下,3.8,都市、穿越、搞笑,番茄小说
73,重生野性时代,王梓钧,3.5,玄幻、重生、都市,Kindle 商店
74,我的一天有48小时,小呆昭,3.5,科幻、都市、异能,微信读书
75,我只想安静的做个苟道中人,爆炸小拿铁,3.0,玄幻、仙侠、苟道,QQ 阅读
76,我被系统托管了,木恒,3.2,武侠、都市、系统,QQ 阅读
77,逆流纯真年代,人间武库,2.9,都市、重生、年代文,番茄小说
78,修真聊天群（聊天群的日常生活）,圣骑士的传说,3.2,都市、玄幻、搞笑,番茄小说
79,1855美国大亨,奶瓶战斗机,4.0,武侠、异国背景、穿越,微信读书
80,神秘复苏,佛前献花,3.3,都市、灵异、悬疑,QQ 阅读
81,星辰之主,减肥专家,3.3,悬疑、玄幻、星辰,微信读书
82,大圣传,说梦者,3.5,历史、玄幻、神话,QQ 阅读
83,十国千娇,西风紧,3.9,历史、穿越、言情,Kindle 商店
84,卡徒,方想,4.0,武侠、科幻、卡片,QQ 阅读
85,重生之心动,初恋璀璨如夏花,4.0,科幻、重生、校园,番茄小说
86,绍宋,榴弹怕水,3.5,武侠、历史、穿越,QQ 阅读
87,择天记,猫腻,1.8,都市、玄幻、修仙,Kindle 商店
88,遮天,辰东,3.6,武侠、玄幻、仙侠,QQ 阅读
89,顾道长生,睡觉会变白,2.8,武侠、都市、玄幻,起点读书
90,海贼法典,惟求得中,3.9,科幻、海贼、冒险,番茄小说
91,战略级天使,白伯欢,4.0,玄幻、科幻、异能,Kindle 商店
92,人道天堂,荆柯守,4.0,科幻、穿越、异世界,起点读书
93,杨戬——人生长恨水长东,水明石,4.3,武侠、神话、改编,QQ 阅读
94,春秋我为王,七月新番,3.3,历史、穿越、春秋,起点读书
95,无限道武者路,饥饿2006,3.6,武侠、玄幻、无限流,微信读书
96,难道我是神,熊狼狗,3.5,都市、玄幻、搞笑,微信读书
97,大魏芳华,西风紧,3.9,悬疑、历史、言情,微信读书
98,从红月开始,黑山老鬼,3.5,武侠、灵异、悬疑,QQ 阅读
99,剑来,烽火戏诸侯,2.5,玄幻、武侠、江湖,QQ 阅读
100,无尽武装,缘分0,3.5,玄幻、无限流、科幻,起点读书
101,仙逆,耳根,3.5,都市、玄幻、修仙,微信读书
102,都市妖奇谈,可蕊,4.5,都市、奇幻、妖怪,微信读书
103,花与剑与法兰西,匂宮出夢,3.6,科幻、异国背景、穿越,QQ 阅读
104,我的老婆是公主,初恋璀璨如夏花,3.9,历史、穿越、言情,微信读书
105,奋斗在新明朝,随轻风去,3.8,武侠、历史、穿越,微信读书
106,限制级末日症候,全部成为F,3.9,玄幻、科幻、末日,Kindle 商店
107,史上第一混乱,张小花,4.2,科幻、穿越、搞笑,Kindle 商店
108,原始战记,陈词懒调,3.8,都市、玄幻、原始社会,番茄小说
109,历史粉碎机,木允锋,3.6,历史、穿越、架空,起点读书
110,铁血残明,柯山梦,3.9,玄幻、历史、战争,微信读书
111,紫川,老猪,4.0,悬疑、玄幻、战争,起点读书
112,神秘之旅,滚开,3.5,武侠、玄幻、暗黑,起点读书
113,主神崛起,文抄公,3.3,历史、玄幻、无限流,起点读书
114,我要做皇帝,要离刺荆轲,3.4,科幻、穿越、宫廷,QQ 阅读
115,小世界其乐无穷,听日,3.0,玄幻、系统、异世界,QQ 阅读
116,贩罪,三天两觉,4.2,科幻、悬疑、犯罪,QQ 阅读
117,从零开始,雷云风暴,4.0,悬疑、网游、玄幻,番茄小说
118,永恒剑主,滚开,3.3,悬疑、玄幻、武侠,起点读书
119,大奉打更人,卖报小郎君,2.5,都市、玄幻、探案,起点读书
120,反正我是超能力者,吃书妖,3.7,玄幻、都市、异能,微信读书
121,大明春色,西风紧,3.6,历史、穿越、言情,微信读书
122,佛本是道,梦入神机,4.2,都市、神话、仙侠,微信读书
123,食物链顶端的男人,熊狼狗,3.8,悬疑、玄幻、搞笑,番茄小说
124,明日之劫,熊狼狗,3.5,悬疑、玄幻、末日,Kindle 商店
125,重生之大涅磐,奥尔良烤鲟鱼堡,3.6,历史、重生、校园,微信读书
126,修真世界,方想,3.7,科幻、玄幻、修真,微信读书
127,深渊主宰,诸生浮屠,3.5,科幻、玄幻、深渊,Kindle 商店
128,俗人回档,庚不让,2.7,科幻、重生、都市,起点读书
129,长夜余火,爱潜水的乌贼,3.2,科幻、克苏鲁、废土,番茄小说
130,奋斗在苏俄,懵懂的猪,4.0,悬疑、异国背景、穿越,Kindle 商店
131,武侠世界大冒险,五方行尽,3.3,武侠、玄幻、冒险,起点读书
132,位面小蝴蝶,核动力战列舰,3.6,科幻、穿越、脑洞,微信读书
133,末日乐园,须尾俱全,3.5,武侠、无限流、末日,起点读书
134,魔法学徒,蓝晶.QD,4.1,武侠、奇幻、魔法,起点读书
135,希灵帝国,远瞳,3.4,悬疑、科幻、奇幻,Kindle 商店
136,烂柯棋缘,真费事,3.3,悬疑、玄幻、仙侠,QQ 阅读
137,宿命之环,爱潜水的乌贼,2.9,武侠、玄幻、克苏鲁,QQ 阅读
138,死人经,冰临神下,3.8,玄幻、武侠、暗黑,起点读书
139,枭臣,更俗,3.7,都市、历史、官场,QQ 阅读
140,武林半侠传,文抄公,3.2,历史、武侠、架空,Kindle 商店
141,仙葫,流浪的蛤蟆,3.7,悬疑、仙侠、修真,番茄小说
142,大唐西域直播记,塞壬的港湾,4.2,都市、历史、穿越,QQ 阅读
143,神秘之劫,文抄公,3.2,都市、玄幻、灵异,番茄小说
144,战国野心家,最后一个名,3.5,玄幻、历史、战争,QQ 阅读
145,历史的尘埃,知秋,4.2,历史、奇幻、战争,微信读书
146,十方武圣,滚开,3.2,历史、武侠、玄幻,Kindle 商店
147,官仙,陈风笑,3.5,历史、玄幻、官场,Kindle 商店
148,这游戏也太真实了,晨星LL,3.1,武侠、都市、游戏,微信读书
149,冒牌大英雄,七十二编,4.0,科幻、星际、搞笑,番茄小说
150,仙路烟尘,管平潮,4.0,都市、仙侠、言情,Kindle 商店
151,三体,刘慈欣,4.6,悬疑、科幻、硬科幻,QQ 阅读
152,最终进化,卷土,3.7,都市、无限流、科幻,起点读书
153,我真是大明星,尝谕,2.8,玄幻、都市、娱乐,起点读书
154,走进修仙,吾道长不孤,3.0,玄幻、仙侠、科普,Kindle 商店
155,从前有座灵剑山,国王陛下,3.3,科幻、玄幻、搞笑,Kindle 商店
156,偷香高手,六如和尚,3.3,悬疑、武侠、穿越,起点读书
157,我，永不更新,zhttty,4.7,科幻、脑洞、哲理,微信读书
158,霜寒之翼,咸鱼公爵,3.1,悬疑、玄幻、冒险,番茄小说
159,新中国首位飞升者,芙蓉姐姐,4.2,玄幻、仙侠、现代,微信读书
160,流浪仙人,癸变泉,3.5,悬疑、玄幻、仙侠,起点读书
161,王牌进化,卷土,4.0,科幻、无限流、游戏,微信读书
162,兽血沸腾,静官,3.8,都市、西幻、穿越,起点读书
163,九万年义务教育,小雨清晨,3.9,悬疑、科幻、末日,Kindle 商店
164,巫师之旅,一行白鹭上青天,3.2,玄幻、玄幻、巫师,番茄小说
165,师士传说,方想,4.1,历史、科幻、机甲,起点读书
166,归向,核动力战列舰,3.3,都市、科幻、战争,番茄小说
167,梦幻香江,王梓钧,3.6,悬疑、重生、娱乐圈,番茄小说
168,永夜君王,烟雨江南,3.0,武侠、奇幻、黑暗流,Kindle 商店
169,唐砖,孑与2,2.5,玄幻、历史、穿越,Kindle 商店
170,恶魔法则,跳舞,3.5,悬疑、穿越、西幻,QQ 阅读
171,圣徒,奥丁般虚伪,4.2,玄幻、西幻、宗教,Kindle 商店
172,吞噬星空,我吃西红柿,3.6,都市、科幻、升级流,番茄小说
